ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
90001,10,2018,COMMERCIAL,Y,5544,6218462,1121.6562
90001,10,2018,INDUSTRIAL,Y,,,
90001,10,2018,RESIDENTIAL,N,13117,278198,21.2090
90001,11,2018,COMMERCIAL,Y,4078,3468064,850.4326
90001,11,2018,INDUSTRIAL,Y,,,
90001,11,2018,RESIDENTIAL,N,13116,304498,23.2158
90001,12,2018,COMMERCIAL,Y,3682,3369247,915.0589
90001,12,2018,INDUSTRIAL,Y,,,
90001,12,2018,RESIDENTIAL,N,13119,400834,30.5537
90002,10,2018,COMMERCIAL,Y,,,
90002,10,2018,INDUSTRIAL,Y,,,
90002,10,2018,RESIDENTIAL,N,11541,239124,20.7195
90002,11,2018,COMMERCIAL,Y,,,
90002,11,2018,INDUSTRIAL,Y,,,
90002,11,2018,RESIDENTIAL,N,11539,277962,24.0889
90002,12,2018,COMMERCIAL,Y,625,219828,351.7248
90002,12,2018,INDUSTRIAL,Y,,,
90002,12,2018,RESIDENTIAL,N,11544,390179,33.7993
90003,10,2018,COMMERCIAL,Y,1238,396047,319.9087
90003,10,2018,INDUSTRIAL,Y,,,
90003,10,2018,RESIDENTIAL,N,18512,362163,19.5637
90003,11,2018,COMMERCIAL,N,536,146198,272.7575
90003,11,2018,INDUSTRIAL,Y,,,
90003,11,2018,RESIDENTIAL,N,18513,430335,23.2450
90003,12,2018,COMMERCIAL,N,536,164333,306.5914
90003,12,2018,INDUSTRIAL,Y,,,
90003,12,2018,RESIDENTIAL,N,18515,578841,31.2634
90004,10,2018,COMMERCIAL,Y,2541,1531907,602.8756
90004,10,2018,INDUSTRIAL,Y,,,
90004,10,2018,RESIDENTIAL,N,19248,414857,21.5533
90004,11,2018,COMMERCIAL,Y,2058,997271,484.5826
90004,11,2018,INDUSTRIAL,Y,,,
90004,11,2018,RESIDENTIAL,N,19254,491517,25.5280
90004,12,2018,COMMERCIAL,N,439,132610,302.0729
90004,12,2018,INDUSTRIAL,Y,,,
90004,12,2018,RESIDENTIAL,N,19253,694507,36.0727
90005,10,2018,COMMERCIAL,N,283,120783,426.7951
90005,10,2018,INDUSTRIAL,Y,,,
